Category: All categories

Country,Charlie Chaplin: (2014),Anne Hathaway: (2014)
Philippines,25,100
Morocco,90,0
Uruguay,88,0
Brazil,77,24
France,70,26
Colombia,67,27
Iran,67,0
Ecuador,61,0
Singapore,0,59
Bulgaria,58,0
Switzerland,56,26
Argentina,56,41
Canada,30,54
United States,24,53
Mexico,46,52
Chile,51,42
New Zealand,0,51
Norway,51,0
Australia,25,50
Hong Kong,0,49
Portugal,48,29
United Kingdom,31,48
India,47,25
Iraq,46,0
Ireland,30,46
Pakistan,45,35
Hungary,25,45
Malaysia,20,43
Peru,43,27
Spain,42,28
Italy,42,30
Belgium,41,26
Bolivia,40,0
United Arab Emirates,39,36
Austria,37,28
Finland,36,0
Denmark,35,26
Sweden,34,30
Romania,34,18
Greece,33,24
South Africa,21,31
Turkey,31,18
Germany,30,24
Venezuela,28,27
South Korea,0,26
Russia,25,0
Indonesia,13,24
Egypt,22,24
Ukraine,21,0
Netherlands,20,18
Poland,14,19
Japan,18,0
Saudi Arabia,17,16
Vietnam,16,10
Taiwan,0,15
Thailand,0,12
