Category: All categories

Country,Charlie Chaplin: (2015),Paul Walker: (2015)
Trinidad & Tobago,0,100
Nicaragua,0,72
Paraguay,0,64
Panama,0,56
Honduras,0,54
Philippines,6,53
Kenya,0,52
Guatemala,0,51
El Salvador,0,50
Malaysia,4,49
South Africa,5,48
Puerto Rico,0,46
Costa Rica,0,45
Lebanon,0,45
Dominican Republic,0,44
Bolivia,8,42
Uruguay,19,41
United States,5,40
Indonesia,3,40
United Kingdom,7,40
Canada,7,38
Norway,11,36
Colombia,15,36
New Zealand,0,36
Australia,5,36
Mexico,10,35
Singapore,0,35
Ecuador,12,34
Ireland,7,33
Hungary,5,33
Nigeria,0,32
Argentina,12,32
Romania,8,32
Venezuela,6,31
Chile,11,30
Sri Lanka,0,30
Austria,8,30
Sweden,8,30
Italy,9,29
Peru,10,29
Spain,8,28
Portugal,11,28
Croatia,0,28
Switzerland,12,28
Denmark,10,27
Pakistan,16,27
United Arab Emirates,11,27
France,12,27
Germany,6,26
Slovenia,0,25
Netherlands,5,24
India,11,23
Bulgaria,12,22
Belgium,8,22
Slovakia,0,21
Czech Republic,7,21
Greece,7,21
Poland,3,21
Brazil,15,20
Morocco,20,11
Hong Kong,0,19
Turkey,7,19
Lithuania,0,18
Finland,7,18
Serbia,0,18
Bangladesh,0,16
Iran,16,0
Vietnam,3,15
Thailand,0,13
Iraq,13,0
Algeria,8,11
Israel,5,9
Egypt,6,8
Russia,6,1
Taiwan,0,6
Saudi Arabia,4,6
Ukraine,5,0
Japan,4,1
