Category: All categories

Country,Charlie Chaplin: (2016),Scarlett Johansson: (2016)
Guatemala,0,100
Mexico,17,98
El Salvador,0,85
Costa Rica,0,85
Honduras,0,82
Bolivia,0,81
Chile,20,76
Paraguay,0,72
Puerto Rico,0,58
Ecuador,18,57
Panama,0,54
Peru,20,50
Colombia,24,50
Argentina,18,46
Malaysia,8,43
Uruguay,0,41
Philippines,12,40
New Zealand,0,39
Switzerland,38,25
Canada,11,36
Hungary,0,35
Spain,15,35
Singapore,0,34
United States,9,33
Australia,9,33
Venezuela,10,33
France,22,33
Ireland,12,32
Italy,16,32
Turkey,11,31
United Kingdom,11,31
Egypt,11,31
Morocco,30,14
Denmark,13,30
Pakistan,29,26
Dominican Republic,0,29
Portugal,17,29
Czech Republic,0,29
Sweden,16,28
Tunisia,27,0
India,22,27
Bangladesh,24,26
Austria,13,26
Hong Kong,0,26
Norway,0,26
United Arab Emirates,18,26
Croatia,0,25
Greece,15,25
Slovakia,0,25
Iran,24,19
South Korea,0,24
Kazakhstan,23,0
South Africa,9,22
Iraq,22,0
Brazil,22,20
Germany,10,22
Belgium,15,22
Finland,14,21
Indonesia,5,20
Bulgaria,20,16
Poland,7,19
Netherlands,9,19
Algeria,13,19
Serbia,15,15
Romania,14,15
Israel,9,14
Thailand,2,14
Saudi Arabia,8,12
Russia,11,2
Ukraine,10,0
Vietnam,5,9
Japan,8,1
Taiwan,0,7
