Category: All categories

Country,Charlie Chaplin: (2015),Tom Hardy: (2015)
United Kingdom,15,100
Ireland,16,88
Hungary,12,49
Uruguay,47,0
New Zealand,0,46
Croatia,0,46
Morocco,43,0
Australia,12,43
Canada,14,43
Sweden,18,36
Iran,36,10
Serbia,0,36
Norway,23,35
Pakistan,35,12
United States,11,33
Brazil,33,10
Colombia,32,8
Slovakia,0,31
Iraq,31,0
Ecuador,30,0
Czech Republic,0,28
France,27,22
Bulgaria,26,20
Portugal,26,20
Greece,17,26
Switzerland,25,18
Denmark,19,25
Chile,24,19
Peru,24,0
India,24,8
South Africa,10,24
Argentina,24,19
United Arab Emirates,22,19
Romania,18,22
Kazakhstan,21,0
Singapore,0,21
Finland,15,21
Mexico,21,17
Italy,20,12
Bolivia,19,0
Austria,19,19
Spain,18,18
Belgium,17,16
Poland,8,16
Netherlands,10,16
Philippines,13,16
Algeria,16,0
Germany,13,15
Turkey,15,10
Russia,14,2
Egypt,13,8
Venezuela,13,9
Malaysia,9,12
Israel,12,0
Ukraine,12,0
South Korea,0,10
Saudi Arabia,9,0
Japan,9,0
Vietnam,8,0
Indonesia,7,7
Thailand,0,5
