Category: All categories

Country,Charlie Chaplin: (2016),Morgan Freeman: (2016)
Switzerland,100,28
Morocco,80,0
Pakistan,78,0
Tunisia,72,0
Hungary,0,66
United States,24,65
Ireland,32,64
Iran,64,0
Colombia,64,31
Bangladesh,62,0
Kazakhstan,61,0
Iraq,59,0
France,59,31
India,58,11
Brazil,58,18
Canada,28,56
Peru,53,27
Chile,52,42
Bulgaria,52,0
Norway,0,52
Argentina,48,33
United Arab Emirates,48,29
Australia,24,47
New Zealand,0,47
Ecuador,46,0
Denmark,34,46
Romania,37,45
Mexico,45,30
Portugal,45,42
United Kingdom,28,44
Netherlands,23,42
Italy,42,27
Sweden,42,39
Greece,40,0
Serbia,39,40
Spain,40,39
Belgium,39,33
South Africa,23,39
Finland,36,0
Algeria,35,0
Austria,34,28
Philippines,32,26
Turkey,29,30
Egypt,28,16
Russia,28,0
Ukraine,26,0
Venezuela,25,25
Germany,25,20
Poland,18,24
Israel,23,0
Japan,22,0
Saudi Arabia,22,0
Malaysia,21,16
Indonesia,14,8
Vietnam,13,0
Thailand,7,0
