Category: All categories

Country,Charlie Chaplin: (2015),Cara Delevingne: (2015)
Philippines,10,100
Chile,18,87
Mexico,16,60
New Zealand,0,53
Ireland,11,51
United Kingdom,11,49
Singapore,0,49
Switzerland,19,48
Spain,14,48
Costa Rica,0,47
Austria,13,46
Norway,18,44
Australia,9,44
Italy,16,42
Denmark,17,40
Ecuador,21,39
Uruguay,32,38
France,20,37
Germany,10,36
Guatemala,0,34
Colombia,25,33
Belgium,13,33
Morocco,33,15
Portugal,19,32
Argentina,19,31
Malaysia,6,31
Venezuela,10,30
Canada,11,30
Greece,12,29
Sweden,14,29
Croatia,0,28
Pakistan,27,9
Iran,27,7
Peru,17,27
Czech Republic,12,26
Brazil,25,19
United Arab Emirates,19,24
United States,9,24
Slovakia,0,24
Netherlands,8,23
Hong Kong,0,22
Iraq,21,0
Serbia,0,21
Poland,6,20
South Africa,8,20
Hungary,8,20
Bulgaria,20,20
India,19,5
Indonesia,5,18
Finland,12,17
Turkey,11,17
Romania,14,17
Bolivia,14,11
Algeria,14,12
Israel,8,14
Russia,11,3
Egypt,10,7
Thailand,0,9
Taiwan,0,9
Ukraine,9,4
Saudi Arabia,7,8
Japan,7,1
Vietnam,5,4
