Category: All categories

Country,Charlie Chaplin: (2014),Sylvester Stallone: (2014)
Morocco,100,0
Uruguay,98,0
Italy,46,88
South Africa,24,86
Brazil,85,25
Denmark,39,82
Canada,33,80
Sweden,38,78
France,77,27
Philippines,27,76
Colombia,75,30
Iran,74,0
Norway,57,69
Ecuador,68,53
Austria,41,65
Bulgaria,64,51
Hungary,28,64
Switzerland,63,53
Argentina,62,32
United Kingdom,35,59
United States,27,59
Chile,57,34
Ireland,34,56
Germany,33,56
Australia,28,54
Belgium,46,54
Portugal,54,49
Croatia,0,54
Netherlands,22,53
India,52,29
Mexico,52,45
Iraq,51,0
United Arab Emirates,43,51
Pakistan,50,37
Singapore,0,50
Slovakia,0,49
Peru,48,36
Romania,37,47
Spain,47,36
Czech Republic,0,46
Bolivia,44,0
New Zealand,0,43
Finland,40,43
Malaysia,22,37
Greece,37,23
Turkey,35,37
Poland,16,34
Venezuela,31,32
Russia,28,0
Egypt,24,0
Ukraine,24,0
Japan,19,0
Saudi Arabia,19,17
Vietnam,17,0
Indonesia,14,15
Thailand,0,8
