Category: All categories

Country,Charlie Chaplin: (2014),Clint Eastwood: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,17
France,77,47
Colombia,75,20
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,32
Argentina,62,39
United States,27,57
Chile,57,37
Norway,57,0
Portugal,54,0
Spain,47,53
Denmark,39,52
India,52,8
Mexico,52,33
Iraq,51,0
Australia,28,51
Pakistan,50,0
Canada,33,49
Peru,48,30
Ireland,34,47
Italy,46,39
Belgium,46,33
Bolivia,44,0
United Arab Emirates,43,0
Sweden,38,42
United Kingdom,35,41
Austria,41,26
New Zealand,0,40
Finland,40,35
Romania,37,0
Greece,37,0
Turkey,35,14
Germany,33,24
Hungary,28,33
Venezuela,31,20
Poland,16,30
Russia,28,5
Philippines,27,23
Egypt,24,0
South Africa,24,22
Ukraine,24,0
Netherlands,22,23
Malaysia,22,0
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Indonesia,14,0
