Category: All categories

Country,Charlie Chaplin: (2013),Martin Scorsese: (2013)
Morocco,100,0
Brazil,85,3
Colombia,71,0
Iran,67,0
Ecuador,62,0
Chile,60,0
France,58,8
Argentina,57,0
Portugal,53,0
Switzerland,52,0
Bulgaria,49,0
Mexico,46,0
India,45,5
Peru,44,0
Italy,43,10
Pakistan,39,0
Ireland,38,0
Spain,36,7
Sweden,36,0
Austria,35,0
Romania,34,0
Philippines,33,0
Russia,32,0
Belgium,32,0
Greece,32,0
Canada,32,8
Venezuela,32,0
Turkey,31,0
Denmark,31,0
United Kingdom,31,7
Hungary,29,0
Israel,29,0
Finland,28,0
United States,27,7
Australia,26,7
Germany,26,5
Ukraine,25,0
Egypt,23,0
Vietnam,21,0
Netherlands,20,0
Poland,19,0
Japan,18,0
Malaysia,17,0
Indonesia,15,0
