Category: All categories

Country,Charlie Chaplin: (2013),Ben Stiller: (2013)
Morocco,100,0
Brazil,81,7
Colombia,66,0
Iran,63,0
Chile,57,0
Argentina,56,20
France,55,13
Portugal,55,0
Ecuador,52,0
Switzerland,50,0
Mexico,45,14
Bulgaria,45,0
India,43,3
Peru,42,0
United Arab Emirates,41,0
Pakistan,41,0
Serbia,40,0
Italy,39,23
Greece,35,0
Ireland,35,0
Philippines,34,0
Spain,34,14
Austria,33,0
Sweden,32,17
Denmark,32,0
Romania,31,0
Finland,31,0
Russia,31,0
Canada,30,23
Belgium,30,0
Turkey,30,0
United Kingdom,30,21
Venezuela,30,0
Australia,26,28
Israel,28,0
United States,26,27
Hungary,25,24
Germany,25,15
Ukraine,23,0
Vietnam,20,0
Netherlands,20,10
Poland,17,7
Japan,17,0
Malaysia,15,0
Indonesia,13,0
