Category: All categories

Country,Charlie Chaplin: (2016),Jon Favreau: (2016)
Switzerland,100,0
Uruguay,83,0
Morocco,81,0
Tunisia,72,0
Pakistan,70,0
Bangladesh,68,0
Iraq,63,0
Iran,62,0
Colombia,62,0
Kazakhstan,60,0
France,57,0
India,56,2
Brazil,52,0
Peru,48,0
Ecuador,48,0
Bulgaria,47,0
Chile,46,0
Argentina,46,0
United Arab Emirates,44,0
Portugal,43,0
Mexico,41,0
Italy,40,0
Serbia,40,0
Sweden,39,0
Spain,37,0
Greece,35,0
Algeria,34,0
Belgium,34,0
Romania,34,0
Finland,33,0
Ireland,31,0
Austria,30,0
Denmark,30,0
Philippines,29,0
Venezuela,27,0
Russia,27,0
United Kingdom,27,6
Turkey,27,0
Canada,26,10
Egypt,26,0
Israel,24,0
Hungary,24,0
Germany,24,0
Australia,24,6
United States,22,9
Netherlands,22,0
Ukraine,22,0
South Africa,22,0
Japan,20,0
Saudi Arabia,20,0
Malaysia,18,0
Poland,17,0
Indonesia,13,0
Vietnam,12,0
