Category: All categories

Country,Charlie Chaplin: (2015),Quentin Tarantino: (2015)
Morocco,100,0
Uruguay,96,0
Pakistan,83,0
Iran,82,0
Colombia,76,12
Brazil,75,11
Iraq,65,0
Ecuador,62,0
France,60,13
Bulgaria,59,0
Switzerland,58,0
Argentina,58,13
United Arab Emirates,58,0
Portugal,58,0
India,56,8
Chile,56,19
Norway,54,0
Denmark,53,0
Peru,52,0
Mexico,50,18
Italy,48,25
Bolivia,43,0
Spain,42,16
Algeria,42,0
Romania,42,0
Sweden,42,23
Austria,41,28
Belgium,39,0
Finland,37,0
United States,27,37
Greece,36,0
Czech Republic,36,0
Turkey,34,11
Ireland,34,32
United Kingdom,34,29
Canada,33,31
Russia,32,0
Philippines,31,0
Venezuela,31,0
Germany,31,24
Australia,26,30
Egypt,29,0
Ukraine,26,0
Netherlands,26,20
Israel,25,0
Hungary,25,0
South Africa,23,0
Japan,22,0
Saudi Arabia,22,0
Poland,18,18
Malaysia,18,0
Vietnam,16,0
Indonesia,16,0
