Category: All categories

Country,Charlie Chaplin: (2014),Wes Anderson: (2014)
Morocco,100,0
Brazil,89,5
France,79,22
Colombia,77,0
Iran,72,0
Switzerland,72,0
Bulgaria,70,0
Ecuador,65,0
Chile,62,0
Argentina,61,20
Portugal,58,0
Iraq,55,0
Norway,54,0
Pakistan,51,0
Mexico,51,9
India,51,0
Peru,48,0
Italy,48,24
Spain,47,19
United Arab Emirates,47,0
Austria,46,0
Belgium,45,0
Finland,44,0
Bolivia,43,0
Romania,42,0
Denmark,39,0
Sweden,37,26
Greece,36,0
Turkey,36,4
United Kingdom,35,24
Venezuela,35,0
Canada,34,33
Germany,34,12
Ireland,34,0
United States,27,31
Israel,29,0
Hungary,28,0
Russia,28,0
Australia,28,27
Philippines,27,0
Ukraine,26,0
South Africa,24,0
Egypt,22,0
Malaysia,22,0
Japan,21,0
Netherlands,20,13
Saudi Arabia,19,0
Vietnam,17,0
Poland,16,7
Indonesia,15,0
