Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Science fiction film: (12/17/11 - 12/17/16)
China,0,100
Romania,0,98
Estonia,0,65
Hungary,0,51
Czech Republic,0,46
Philippines,6,44
New Zealand,0,43
Australia,7,37
Ireland,9,37
Bangladesh,0,36
Slovakia,0,36
Croatia,0,34
United Kingdom,8,34
Serbia,0,31
Slovenia,0,31
Pakistan,6,30
Poland,8,30
South Korea,0,30
Norway,0,30
Canada,7,29
Italy,4,27
Sweden,0,27
Ecuador,0,26
Denmark,0,26
United Arab Emirates,0,26
India,13,25
Sri Lanka,0,24
Lithuania,0,23
Austria,0,22
Greece,0,21
Netherlands,3,21
Germany,2,21
Switzerland,0,21
Belarus,0,21
Spain,4,20
Peru,0,20
Singapore,0,20
United States,8,19
Russia,6,19
South Africa,6,19
Kazakhstan,0,18
Portugal,0,18
Chile,0,17
Ukraine,6,17
Brazil,1,17
Israel,0,16
Belgium,6,16
Mexico,1,16
Argentina,0,15
Hong Kong,0,15
Finland,0,14
Malaysia,0,13
Colombia,0,13
France,12,4
Bulgaria,0,12
Taiwan,0,10
Venezuela,0,7
Turkey,1,7
Iran,0,7
Japan,0,7
Saudi Arabia,0,6
Egypt,0,5
Indonesia,3,5
Thailand,0,3
