Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Crime film: (12/17/11 - 12/17/16)
Ukraine,11,100
Kazakhstan,0,50
Poland,14,44
Japan,0,43
Denmark,0,35
Algeria,0,31
Sweden,0,29
Pakistan,12,28
United Kingdom,16,28
Ireland,18,26
China,0,26
India,24,9
France,24,23
Israel,0,22
New Zealand,17,22
Romania,0,21
Germany,5,21
Switzerland,0,21
Iran,0,20
United Arab Emirates,0,20
Austria,0,20
Australia,14,19
Canada,14,19
Morocco,0,18
Serbia,0,18
United States,15,9
Belgium,12,15
Singapore,0,15
Russia,12,14
Brazil,1,13
Greece,0,12
Netherlands,4,12
Italy,8,11
Philippines,11,11
Malaysia,0,9
Spain,8,3
Saudi Arabia,0,8
Indonesia,6,3
Argentina,4,0
Mexico,2,0
Turkey,2,2
