Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),News Movies: (12/17/11 - 12/17/16)
Pakistan,2,100
Qatar,0,86
United Arab Emirates,0,84
India,4,44
Sri Lanka,0,43
Ethiopia,0,34
Kuwait,0,31
Nigeria,0,24
Kenya,0,22
Saudi Arabia,0,19
Bangladesh,0,19
Singapore,0,16
South Africa,0,14
Ireland,3,14
Philippines,2,13
New Zealand,3,11
Australia,2,11
United Kingdom,3,10
Canada,2,10
United States,3,8
Malaysia,0,8
France,4,1
Poland,2,0
Belgium,2,0
Russia,2,0
Ukraine,2,0
Netherlands,1,2
Italy,1,1
Spain,1,0
Germany,1,1
Indonesia,1,0
Argentina,1,0
Mexico,0,0
Turkey,0,0
Brazil,0,0
