Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Adventure Film: (12/17/11 - 12/17/16)
Moldova,0,100
Romania,0,81
Belarus,0,79
Pakistan,7,76
Kazakhstan,0,75
Israel,0,73
Bulgaria,0,73
Ukraine,6,72
Ghana,0,67
Philippines,6,53
Russia,7,47
United Arab Emirates,0,45
Bangladesh,0,43
Latvia,0,37
Sri Lanka,0,35
India,13,29
Croatia,0,28
Bosnia & Herzegovina,0,27
Brazil,1,25
Serbia,0,24
Nigeria,0,23
Tunisia,0,22
New Zealand,0,21
Vietnam,0,21
Greece,0,19
Turkey,1,18
Algeria,0,17
Norway,0,16
Australia,8,16
Denmark,0,16
Italy,5,15
Indonesia,3,15
Sweden,0,15
Belgium,7,15
Canada,8,15
Ireland,11,14
France,14,12
Morocco,0,13
United Kingdom,9,13
Poland,8,13
Spain,5,13
South Africa,6,12
Singapore,0,12
Netherlands,2,12
Saudi Arabia,0,11
Switzerland,0,11
Malaysia,0,11
Austria,0,10
Germany,3,10
Portugal,0,10
United States,9,8
China,0,8
Hungary,0,8
Finland,0,8
Egypt,0,7
Iran,0,6
Argentina,2,6
Chile,0,6
Colombia,0,4
Mexico,2,4
Thailand,0,3
Japan,0,2
