Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Mystery: (12/17/11 - 12/17/16)
Czech Republic,0,100
Greece,0,96
India,90,61
Serbia,0,89
France,88,0
Pakistan,46,84
United Arab Emirates,0,72
Israel,0,70
Ireland,66,0
Philippines,41,64
United Kingdom,61,27
United States,59,23
Poland,56,0
Canada,52,40
Australia,51,39
Russia,44,0
Belgium,42,0
South Africa,41,0
Ukraine,40,0
Spain,30,0
Italy,30,0
Indonesia,22,0
Germany,18,21
Netherlands,20,0
Japan,0,14
Mexico,9,0
Turkey,9,0
Brazil,5,0
