Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Short Movies: (12/17/11 - 12/17/16)
Nepal,0,100
Pakistan,7,61
India,13,44
Kenya,0,37
Sri Lanka,0,37
Nigeria,0,30
South Africa,6,25
Philippines,6,25
Bangladesh,0,25
United Arab Emirates,0,24
New Zealand,0,19
Australia,8,14
Ireland,10,13
France,13,1
Singapore,0,12
United States,9,12
Canada,8,11
Egypt,0,10
United Kingdom,9,6
Malaysia,0,8
Poland,8,0
Russia,6,0
Belgium,6,0
Greece,0,6
Ukraine,6,0
Netherlands,3,6
Romania,0,5
Saudi Arabia,0,5
Spain,4,0
Italy,4,1
Sweden,0,4
Indonesia,3,2
Germany,3,1
Turkey,1,2
Mexico,1,0
Brazil,1,1
