Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Drama Movies: (12/17/11 - 12/17/16)
Pakistan,2,100
Myanmar (Burma),0,40
Philippines,2,39
Cambodia,0,33
Singapore,0,24
United Arab Emirates,0,21
Macedonia (FYROM),0,20
Sri Lanka,0,19
Malaysia,0,18
Qatar,0,16
New Zealand,3,14
Kuwait,0,12
Kenya,0,10
Australia,2,9
Slovenia,0,8
Saudi Arabia,0,8
Jordan,0,8
Bangladesh,0,7
Serbia,0,7
Canada,3,7
Croatia,0,7
Greece,0,6
Ireland,3,6
South Africa,0,6
Nigeria,0,6
India,4,5
Norway,0,5
Egypt,0,5
Romania,0,5
Sweden,0,5
Morocco,0,4
Indonesia,1,4
France,4,0
Israel,0,4
United States,3,4
United Kingdom,3,4
Netherlands,1,3
Denmark,0,3
Poland,3,0
Finland,0,2
Belgium,2,2
Russia,2,0
South Korea,0,2
Ukraine,2,0
Spain,1,0
Italy,1,1
Thailand,0,1
Germany,1,1
Argentina,1,0
Turkey,0,1
Mexico,0,0
Japan,0,0
Brazil,0,0
