Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Action Film: (12/17/11 - 12/17/16)
Vietnam,0,100
Palestine,0,100
Egypt,0,95
Sudan,0,66
Iraq,0,58
Yemen,0,53
Algeria,0,50
Jordan,0,37
Syria,0,35
Tunisia,0,33
Moldova,0,32
Libya,0,30
Romania,0,29
Saudi Arabia,0,29
Kazakhstan,0,28
Oman,0,23
Ecuador,0,21
Morocco,0,19
Philippines,0,19
Qatar,0,18
Dominican Republic,0,18
Pakistan,0,17
Kuwait,0,16
United Arab Emirates,0,16
Armenia,0,15
Peru,0,14
Lebanon,0,14
Bangladesh,0,14
Turkey,0,13
Belarus,0,12
Ukraine,0,12
Iran,0,11
Israel,0,11
Colombia,0,11
Panama,0,11
El Salvador,0,10
Russia,0,10
Guatemala,0,10
Mexico,0,10
Kenya,0,10
Azerbaijan,0,10
Uruguay,0,8
Bulgaria,0,8
Venezuela,0,8
Sri Lanka,0,8
Nigeria,0,7
India,0,7
Bolivia,0,7
Argentina,0,7
Chile,0,6
Costa Rica,0,6
Brazil,0,6
Indonesia,0,5
China,0,5
Spain,0,4
Portugal,0,4
New Zealand,0,4
Malaysia,0,4
South Africa,0,4
Singapore,0,4
Australia,0,3
Norway,0,3
Hungary,0,3
Ireland,0,3
Canada,0,3
South Korea,0,3
Belgium,0,3
Germany,0,3
Netherlands,0,3
Switzerland,0,3
United Kingdom,0,3
Sweden,0,3
Austria,0,3
Poland,0,3
Greece,0,2
Italy,0,2
United States,0,2
Czech Republic,0,2
France,0,2
Denmark,0,2
Taiwan,0,2
Thailand,0,1
Japan,0,1
