Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Documentary film: (12/17/11 - 12/17/16)
Iran,0,100
Spain,0,78
Ireland,1,76
Sweden,0,72
Canada,1,64
New Zealand,0,63
Norway,0,61
Denmark,0,61
Australia,1,59
Colombia,0,54
Mexico,0,52
Chile,0,52
Netherlands,0,51
United Kingdom,1,49
Ecuador,0,48
Puerto Rico,0,48
Ukraine,1,48
Uruguay,0,46
El Salvador,0,45
United States,1,44
Turkey,0,40
Costa Rica,0,40
Croatia,0,40
Dominican Republic,0,40
Argentina,0,39
Greece,0,38
Guatemala,0,37
Belarus,0,36
Romania,0,36
Peru,0,36
Kazakhstan,0,33
Belgium,1,32
Russia,1,31
France,1,31
Kenya,0,31
Algeria,0,31
Brazil,0,29
Portugal,0,29
Morocco,0,27
Venezuela,0,27
Philippines,1,27
Tunisia,0,26
Bolivia,0,26
South Africa,1,26
United Arab Emirates,0,25
Pakistan,1,25
Serbia,0,24
Switzerland,0,23
Singapore,0,22
Israel,0,19
Finland,0,18
Italy,0,18
Egypt,0,14
Hong Kong,0,14
Saudi Arabia,0,13
Poland,1,13
Czech Republic,0,12
Bulgaria,0,12
Hungary,0,12
India,1,12
Austria,0,11
Germany,0,9
Malaysia,0,9
South Korea,0,8
Vietnam,0,6
Indonesia,0,6
Japan,0,5
Thailand,0,3
