Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Romantic Movies: (12/17/11 - 12/17/16)
Pakistan,2,100
Mauritius,0,79
Philippines,2,75
Zimbabwe,0,62
Malta,0,59
Sri Lanka,0,56
Bangladesh,0,53
Nepal,0,50
United Arab Emirates,0,50
Macedonia (FYROM),0,49
India,4,44
Cyprus,0,44
Jamaica,0,43
Trinidad & Tobago,0,40
Qatar,0,38
Bahrain,0,31
Ghana,0,30
Ethiopia,0,30
Kuwait,0,27
Lebanon,0,27
Kenya,0,26
South Africa,2,25
Oman,0,24
New Zealand,0,22
Tanzania,0,21
Ireland,3,20
Egypt,0,20
Latvia,0,18
Singapore,0,18
Bosnia & Herzegovina,0,18
Serbia,0,17
Malaysia,0,17
Nigeria,0,17
Croatia,0,16
Australia,2,16
Greece,0,16
Jordan,0,15
Georgia,0,14
Slovenia,0,14
Canada,2,14
Estonia,0,14
Norway,0,13
Saudi Arabia,0,13
Puerto Rico,0,13
Tunisia,0,12
Iraq,0,12
Bulgaria,0,11
Lithuania,0,11
United Kingdom,2,10
Sweden,0,9
United States,2,8
Denmark,0,7
Belgium,2,7
Bolivia,0,7
Romania,0,7
Netherlands,1,7
Morocco,0,7
Israel,0,6
Finland,0,5
Algeria,0,5
Slovakia,0,5
Hong Kong,0,4
Portugal,0,4
France,4,1
Switzerland,0,3
Indonesia,1,3
Hungary,0,3
Czech Republic,0,3
South Korea,0,3
Austria,0,3
Poland,2,1
Iran,0,2
Russia,2,0
Ukraine,2,0
Thailand,0,2
Germany,1,1
Spain,1,1
Italy,1,1
Turkey,0,1
Mexico,0,1
Vietnam,0,1
Argentina,1,0
Japan,0,0
Brazil,0,0
