Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Family Movies: (12/17/11 - 12/17/16)
Trinidad & Tobago,0,100
Jamaica,0,92
Pakistan,4,84
New Zealand,6,56
United Arab Emirates,0,48
Qatar,0,42
Canada,5,42
Sri Lanka,0,39
Australia,5,38
United States,6,33
Ireland,7,32
Kuwait,0,28
Philippines,4,26
India,9,26
Bangladesh,0,24
South Africa,0,22
Singapore,0,20
Kenya,0,19
United Kingdom,6,19
Jordan,0,17
Iraq,0,14
Saudi Arabia,0,13
Malaysia,0,11
Egypt,0,11
Norway,0,11
Nigeria,0,11
Greece,0,10
Serbia,0,10
Israel,0,9
Croatia,0,9
Sweden,0,9
France,9,1
Netherlands,1,7
Denmark,0,7
Romania,0,6
Poland,5,1
Belgium,5,5
Portugal,0,5
Russia,4,0
Ukraine,4,0
Switzerland,0,4
Indonesia,2,3
Spain,3,1
Italy,3,1
Germany,2,2
Turkey,1,2
Thailand,0,2
Mexico,1,2
Argentina,1,0
Brazil,1,1
Japan,0,0
