Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Fantasy: (12/17/11 - 12/17/16)
Moldova,0,100
Czech Republic,0,80
Philippines,14,76
Hungary,0,64
Poland,20,60
Germany,6,49
Austria,0,49
Pakistan,16,46
New Zealand,0,41
Slovakia,0,39
Romania,0,38
Sweden,0,36
Switzerland,0,36
United Arab Emirates,0,35
India,32,22
France,31,3
Norway,0,31
Croatia,0,30
Italy,11,29
Ireland,23,29
South Korea,0,29
Australia,18,29
Netherlands,7,29
Serbia,0,27
United Kingdom,22,26
Bulgaria,0,25
Denmark,0,22
Canada,18,22
United States,21,12
Israel,0,21
Singapore,0,21
Greece,0,20
South Africa,14,19
Finland,0,19
Belgium,15,18
Malaysia,0,17
Russia,16,0
Ukraine,14,9
Indonesia,8,11
Spain,11,10
Saudi Arabia,0,9
Japan,0,5
Mexico,3,0
Turkey,3,2
Brazil,2,3
