Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Animated Movies: (12/17/11 - 12/17/16)
Pakistan,2,100
Trinidad & Tobago,0,58
Jamaica,0,53
Nepal,0,42
United Arab Emirates,0,38
Bangladesh,0,36
Philippines,2,34
Macedonia (FYROM),0,31
India,4,30
Qatar,0,27
Sri Lanka,0,24
New Zealand,0,23
Oman,0,20
Kuwait,0,17
Canada,2,17
Australia,2,16
Ireland,3,15
South Africa,2,15
Singapore,0,13
Puerto Rico,0,13
United States,3,12
Serbia,0,11
Kenya,0,11
Croatia,0,11
United Kingdom,3,10
Slovenia,0,9
Sweden,0,8
Saudi Arabia,0,8
Malaysia,0,8
Norway,0,7
Denmark,0,6
Nigeria,0,6
Greece,0,5
Romania,0,5
Bulgaria,0,4
France,4,1
Israel,0,4
Slovakia,0,4
Netherlands,1,3
Finland,0,3
Hong Kong,0,3
Portugal,0,3
Czech Republic,0,3
Egypt,0,3
Belgium,2,3
Hungary,0,3
Poland,2,1
South Korea,0,2
Russia,2,0
Ukraine,2,0
Switzerland,0,2
Austria,0,2
Spain,1,1
Italy,1,0
Mexico,0,1
Indonesia,1,1
Germany,1,1
Thailand,0,1
Argentina,1,1
Turkey,0,1
Brazil,0,0
Japan,0,0
