Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Comedy Movies: (12/17/11 - 12/17/16)
Philippines,1,100
Trinidad & Tobago,0,99
Malta,0,96
Pakistan,1,91
United Arab Emirates,0,90
Macedonia (FYROM),0,87
Qatar,0,82
Jamaica,0,79
Mauritius,0,72
Nepal,0,63
Iceland,0,55
Bahrain,0,52
Cyprus,0,52
New Zealand,0,49
India,2,48
Sri Lanka,0,44
Kuwait,0,43
Oman,0,39
Estonia,0,35
Australia,1,35
Bangladesh,0,32
Singapore,0,32
Ireland,2,31
Lebanon,0,27
Bosnia & Herzegovina,0,25
South Africa,1,25
Serbia,0,24
Canada,2,24
Saudi Arabia,0,24
Kenya,0,24
Slovenia,0,23
Croatia,0,22
United Kingdom,2,19
Norway,0,18
Malaysia,0,18
Jordan,0,18
Latvia,0,16
Romania,0,15
Sweden,0,14
Greece,0,14
Puerto Rico,0,13
Nigeria,0,13
United States,2,12
Egypt,0,11
Israel,0,11
Netherlands,0,11
Bulgaria,0,10
Tunisia,0,10
Denmark,0,10
Lithuania,0,10
Belgium,1,8
Finland,0,8
Portugal,0,8
Morocco,0,7
Hong Kong,0,7
Iraq,0,6
Switzerland,0,5
Algeria,0,5
South Korea,0,4
Austria,0,4
Hungary,0,3
Indonesia,1,3
France,2,1
Germany,0,2
Thailand,0,2
Spain,1,2
Poland,2,1
Italy,1,1
Turkey,0,1
Mexico,0,1
Russia,1,1
Ukraine,1,0
Japan,0,1
Argentina,0,0
Brazil,0,0
