Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),War Movies: (12/17/11 - 12/17/16)
Pakistan,5,100
Philippines,4,77
Trinidad & Tobago,0,63
Nepal,0,58
Jamaica,0,54
New Zealand,0,52
Bangladesh,0,46
United Arab Emirates,0,44
Sri Lanka,0,44
Qatar,0,44
Australia,5,41
Singapore,0,39
Macedonia (FYROM),0,38
India,8,36
Ghana,0,35
Canada,5,33
Ireland,7,32
United States,6,28
South Africa,4,26
Kuwait,0,23
Norway,0,23
Croatia,0,21
Malaysia,0,21
Slovenia,0,20
Greece,0,20
Kenya,0,20
Nigeria,0,20
Serbia,0,18
Sweden,0,18
United Kingdom,6,18
Denmark,0,16
Lithuania,0,14
Netherlands,1,14
Finland,0,14
Romania,0,13
Saudi Arabia,0,12
Belgium,4,10
Egypt,0,9
Portugal,0,9
France,8,1
Hong Kong,0,8
Israel,0,8
Bulgaria,0,7
Switzerland,0,6
Poland,5,2
Indonesia,2,5
South Korea,0,5
Hungary,0,4
Russia,4,0
Austria,0,4
Ukraine,4,0
Iran,0,4
Thailand,0,3
Spain,3,2
Italy,3,2
Germany,2,3
Mexico,1,2
Turkey,1,2
Vietnam,0,1
Argentina,1,0
Brazil,1,1
Japan,0,1
