Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Genre: (12/17/11 - 12/17/16)
Haiti,0,100
Congo (DRC),0,80
Senegal,0,68
Côte d’Ivoire,0,57
Réunion,0,50
France,2,37
Philippines,1,37
Denmark,0,31
Morocco,0,30
Indonesia,1,29
Lebanon,0,26
Belgium,1,24
Tunisia,0,21
New Zealand,2,20
Canada,1,20
Australia,1,19
United States,1,19
Singapore,0,18
Algeria,0,16
South Africa,0,16
Sweden,0,14
United Kingdom,2,14
Switzerland,0,14
Netherlands,0,13
Ireland,2,12
Malaysia,0,12
Kenya,0,10
United Arab Emirates,0,10
Pakistan,1,9
Nigeria,0,9
Hong Kong,0,9
Norway,0,8
Austria,0,8
Germany,0,8
Bangladesh,0,8
India,2,7
Finland,0,6
South Korea,0,4
Serbia,0,4
Romania,0,4
Greece,0,3
Portugal,0,3
Iran,0,3
Israel,0,3
Egypt,0,2
Hungary,0,2
Saudi Arabia,0,2
Taiwan,0,2
Thailand,0,2
Spain,1,2
Italy,1,2
Mexico,0,1
Poland,1,1
Argentina,0,1
Colombia,0,1
Russia,1,1
Ukraine,1,0
Vietnam,0,1
Turkey,0,1
Brazil,0,1
Japan,0,1
