Category: All categories

Country,Biographical film: (12/17/11 - 12/17/16),Horror Movies: (12/17/11 - 12/17/16)
Pakistan,1,100
Philippines,1,62
India,1,34
Trinidad & Tobago,0,32
Mauritius,0,32
United Arab Emirates,0,32
Nepal,0,30
Bangladesh,0,28
Qatar,0,27
Sri Lanka,0,25
Jamaica,0,25
Macedonia (FYROM),0,20
New Zealand,0,20
Kuwait,0,18
Singapore,0,17
Oman,0,16
Australia,1,16
Ireland,1,15
Canada,1,15
Estonia,0,15
South Africa,1,14
United Kingdom,1,13
Croatia,0,12
Slovenia,0,12
Serbia,0,12
United States,1,11
Norway,0,11
Latvia,0,11
Greece,0,10
Malaysia,0,10
Kenya,0,10
Bosnia & Herzegovina,0,9
Romania,0,9
Sweden,0,9
Saudi Arabia,0,8
Denmark,0,8
Lithuania,0,8
Finland,0,7
Jordan,0,7
Netherlands,0,6
Bulgaria,0,6
Egypt,0,6
Bolivia,0,4
Belgium,1,4
Portugal,0,4
Nigeria,0,4
Israel,0,3
Hungary,0,3
Hong Kong,0,3
Morocco,0,2
Austria,0,2
Switzerland,0,2
Indonesia,0,2
South Korea,0,2
France,1,1
Germany,0,1
Mexico,0,1
Italy,0,1
Poland,1,1
Turkey,0,1
Thailand,0,1
Russia,1,0
Spain,1,1
Ukraine,1,0
Argentina,0,1
Brazil,0,0
Japan,0,0
