Category: All categories

Country,The Shawshank Redemption: (10/25/13 - 12/10/13),Thor: The Dark World: (10/25/13 - 12/10/13)
Kazakhstan,0,100
Belarus,0,73
Ukraine,0,68
Singapore,0,63
Philippines,0,58
Russia,0,54
Malaysia,0,41
Vietnam,0,39
Ecuador,0,39
Romania,0,39
United Arab Emirates,0,30
India,0,30
Chile,0,29
Pakistan,0,29
Peru,0,28
New Zealand,0,27
Mexico,0,27
Australia,0,26
Thailand,0,25
Turkey,5,23
United States,1,22
Canada,3,22
Hungary,0,22
South Korea,0,22
Brazil,0,22
United Kingdom,2,20
Colombia,0,20
Venezuela,0,19
South Africa,0,18
Italy,3,18
Argentina,0,17
Greece,0,17
Poland,0,17
France,0,17
Indonesia,0,17
Portugal,0,15
Austria,0,15
Belgium,0,14
Spain,0,13
Switzerland,0,13
Sweden,0,12
Germany,0,12
Netherlands,0,9
