Category: All categories

Country,The Shawshank Redemption: (12/24/14 - 2/27/15),American Sniper: (12/24/14 - 2/27/15)
United States,2,78
Italy,0,74
Australia,4,58
Ireland,0,55
Canada,3,54
Singapore,0,50
New Zealand,0,49
Philippines,0,43
Croatia,0,42
United Kingdom,3,39
United Arab Emirates,0,38
Sweden,0,36
Romania,0,34
Norway,0,32
Denmark,0,30
Pakistan,0,28
Thailand,0,24
Hong Kong,0,24
Serbia,0,23
Switzerland,0,22
France,0,22
South Africa,0,20
Portugal,0,19
Greece,0,19
Israel,0,18
Belgium,0,17
India,2,16
Poland,3,16
Finland,0,16
Austria,0,16
Netherlands,0,15
Germany,2,13
Chile,0,12
Malaysia,0,11
Egypt,0,11
Saudi Arabia,0,10
Argentina,0,9
Mexico,0,9
Colombia,0,8
Indonesia,0,8
Spain,0,7
Turkey,6,6
Vietnam,0,4
Russia,4,0
Brazil,0,4
Japan,2,0
