Category: All categories

Country,The Shawshank Redemption: (7/19/14 - 9/30/14),Lucy: (7/19/14 - 9/30/14)
Ukraine,0,100
Kazakhstan,0,96
Belarus,0,90
Philippines,0,84
Singapore,0,83
Bulgaria,0,73
Romania,0,65
Russia,5,64
United Arab Emirates,0,61
Malaysia,0,59
France,1,27
Hong Kong,0,50
Australia,3,23
New Zealand,0,47
Belgium,0,43
Taiwan,0,43
Portugal,0,43
Hungary,0,42
Poland,0,41
Morocco,0,40
Switzerland,0,39
Serbia,0,39
United States,4,41
Egypt,0,37
Canada,5,36
Spain,0,36
Turkey,8,35
United Kingdom,6,30
Austria,0,30
Ireland,0,29
Mexico,0,29
South Africa,0,29
Saudi Arabia,0,27
Greece,0,26
Thailand,0,26
Pakistan,0,25
Germany,2,25
Israel,0,24
Peru,0,23
Netherlands,0,22
Italy,0,21
Chile,0,20
Vietnam,0,20
South Korea,0,20
Indonesia,0,19
Brazil,2,19
Colombia,0,18
Sweden,0,16
India,3,16
Argentina,0,11
Japan,0,4
