Category: All categories

Country,The Shawshank Redemption: (10/11/14 - 1/31/15),Fury: (10/11/14 - 1/31/15)
Kazakhstan,0,100
Belarus,0,96
Ukraine,9,89
Russia,8,70
Singapore,0,62
Romania,0,53
Hungary,0,53
New Zealand,0,52
Croatia,0,52
Australia,7,51
Canada,6,43
Czech Republic,0,40
United States,5,39
Hong Kong,0,39
Serbia,0,38
United Arab Emirates,0,37
Ireland,0,37
Philippines,0,36
Poland,6,35
Norway,0,35
Pakistan,0,35
Sweden,0,34
United Kingdom,5,33
Belgium,0,31
Portugal,0,30
Netherlands,0,30
Taiwan,0,29
Turkey,12,28
Greece,0,27
Denmark,0,25
Finland,0,24
Israel,0,24
France,4,40
Indonesia,0,22
Austria,0,22
Switzerland,0,22
Malaysia,0,22
South Korea,0,20
India,5,20
Egypt,0,19
Germany,4,18
Japan,4,17
Saudi Arabia,0,16
Thailand,0,15
Chile,0,14
Argentina,0,10
Vietnam,0,10
Mexico,0,10
Spain,0,8
Brazil,2,8
Italy,3,6
