Category: All categories

Country,The Shawshank Redemption: (7/26/14 - 9/11/14),Guardians of the Galaxy: (7/26/14 - 9/11/14)
Kazakhstan,0,100
Singapore,0,90
Belarus,0,85
Russia,0,76
United States,2,48
Philippines,0,66
Ukraine,0,64
Canada,0,62
Australia,7,59
Malaysia,0,54
New Zealand,0,54
Mexico,0,44
Ireland,0,43
United Kingdom,2,43
Hungary,0,37
Peru,0,37
Hong Kong,0,35
United Arab Emirates,0,34
Romania,0,32
Chile,0,31
Ecuador,0,31
Czech Republic,0,31
Spain,0,31
Thailand,0,29
Poland,0,27
Austria,0,27
Norway,0,26
Denmark,0,25
Sweden,0,25
Taiwan,0,24
France,0,18
Indonesia,0,24
Argentina,0,23
Portugal,0,23
Venezuela,0,22
Belgium,0,22
Pakistan,0,22
Germany,1,36
South Africa,0,21
India,0,20
Israel,0,20
Vietnam,0,19
Finland,0,18
Colombia,0,18
Netherlands,0,18
Switzerland,0,17
Brazil,0,16
South Korea,0,16
Bolivia,0,14
Turkey,4,12
Italy,0,6
Japan,0,3
