Category: All categories

Country,The Shawshank Redemption: (2014),Transcendence: (2014)
Belarus,0,100
South Korea,31,97
Ukraine,44,85
Romania,35,85
Singapore,0,84
Hungary,31,83
Kazakhstan,53,82
Russia,28,78
Philippines,0,72
New Zealand,59,67
Australia,34,64
Poland,34,63
Taiwan,33,63
Turkey,58,17
Canada,28,53
Czech Republic,0,48
Serbia,0,46
United Arab Emirates,0,45
Ireland,45,38
Hong Kong,0,44
Malaysia,0,44
France,12,43
Italy,14,42
Greece,0,41
Norway,39,0
United Kingdom,31,39
Belgium,0,38
United States,24,38
Portugal,0,38
Thailand,12,37
Austria,0,36
Israel,31,36
South Africa,0,35
Pakistan,26,34
Switzerland,0,34
Denmark,33,26
Spain,9,33
Sweden,31,32
Finland,0,31
Netherlands,21,30
Germany,11,29
Chile,22,28
Egypt,20,28
India,18,27
Argentina,18,24
Indonesia,7,22
Brazil,10,17
Saudi Arabia,0,16
Japan,15,13
Colombia,0,14
Mexico,13,12
Vietnam,0,8
