Category: All categories

Country,The Shawshank Redemption: (3/21/14 - 5/5/14),Captain America: The Winter Soldier: (3/21/14 - 5/5/14)
Singapore,0,100
Philippines,0,90
Hong Kong,0,67
Malaysia,0,64
Taiwan,0,58
South Korea,0,47
United States,1,23
Canada,0,47
New Zealand,0,45
Vietnam,0,44
Australia,3,31
Ecuador,0,43
United Arab Emirates,0,40
Mexico,0,40
United Kingdom,3,36
India,0,35
Ireland,0,35
Brazil,0,33
Romania,0,29
Thailand,0,29
Russia,0,29
Pakistan,0,27
Indonesia,0,27
Ukraine,0,26
Italy,0,26
Peru,0,25
Chile,0,23
Venezuela,0,22
Colombia,0,21
France,0,18
Argentina,0,18
Poland,6,15
Spain,0,11
Germany,6,43
Netherlands,0,11
Turkey,6,10
Japan,0,3
