Category: All categories

Country,The Shawshank Redemption: (5/23/14 - 7/11/14),Maleficent: (5/23/14 - 7/11/14)
Philippines,0,100
Kazakhstan,0,80
Singapore,0,64
Mexico,0,64
Russia,0,55
Belarus,0,54
Ukraine,0,48
Malaysia,0,47
Ecuador,0,45
United Arab Emirates,0,43
Venezuela,0,39
Romania,0,38
Italy,0,37
Brazil,0,37
Thailand,0,34
Colombia,0,33
United States,3,67
Argentina,0,32
Chile,0,31
Australia,2,30
Vietnam,0,30
Peru,0,29
Hong Kong,0,28
Spain,0,26
Pakistan,0,26
Canada,0,26
New Zealand,0,25
Serbia,0,25
South Korea,0,23
Portugal,0,23
Israel,0,22
Ireland,0,22
Poland,0,22
United Kingdom,3,37
Taiwan,0,20
Greece,0,20
Indonesia,0,18
Belgium,0,17
Sweden,0,15
Austria,0,15
France,0,32
South Africa,0,13
Saudi Arabia,0,13
Netherlands,0,11
Turkey,4,10
Germany,2,27
India,0,6
Japan,0,3
