Category: All categories

Country,The Shawshank Redemption: (2/3/15 - 3/19/15),Fifty Shades of Grey: (2/3/15 - 3/19/15)
Philippines,0,100
Lebanon,0,53
Singapore,0,53
Romania,0,49
Puerto Rico,0,44
Norway,0,35
Denmark,0,35
Pakistan,0,33
South Africa,0,33
Thailand,0,32
Sweden,0,32
Malaysia,0,30
United Arab Emirates,0,29
United Kingdom,1,27
New Zealand,0,27
Tunisia,0,26
Austria,0,26
Hong Kong,0,25
Indonesia,0,25
Australia,2,24
Ireland,0,24
Germany,0,22
Canada,0,22
Finland,0,21
United States,1,21
Lithuania,0,21
Serbia,0,20
Switzerland,0,19
Bangladesh,0,18
Greece,0,18
Nigeria,0,16
Croatia,0,16
India,1,16
Netherlands,0,15
Bulgaria,0,15
Slovakia,0,14
Morocco,0,14
Portugal,0,13
Belgium,0,12
Saudi Arabia,0,12
Egypt,0,12
Czech Republic,0,11
Hungary,0,10
Israel,0,9
Algeria,0,9
South Korea,0,8
Bolivia,0,7
Vietnam,0,7
Taiwan,0,6
Turkey,2,6
Poland,0,5
France,1,5
Mexico,0,4
Argentina,0,3
Italy,0,3
Spain,0,2
Brazil,0,2
Japan,0,1
