Category: All categories

Country,The Shawshank Redemption: (3/12/15 - 5/4/15),The Divergent Series: Insurgent: (3/12/15 - 5/4/15)
Philippines,0,100
Romania,0,100
Kazakhstan,0,84
Singapore,0,74
New Zealand,0,67
Chile,0,66
Poland,0,61
Russia,5,57
Malaysia,0,57
Portugal,0,56
Australia,0,55
France,0,51
Ecuador,0,49
Spain,0,49
Brazil,0,49
Venezuela,0,49
Indonesia,0,48
United Arab Emirates,0,47
Ukraine,0,46
Italy,0,46
Czech Republic,0,45
United States,4,45
Belgium,0,44
Argentina,0,40
Pakistan,0,39
Mexico,0,38
Colombia,0,38
Canada,0,37
Sweden,0,34
Peru,0,34
Thailand,0,32
Switzerland,0,32
Turkey,8,31
United Kingdom,5,30
Hungary,0,30
South Africa,0,29
Denmark,0,29
Netherlands,0,25
Germany,0,16
India,4,12
Vietnam,0,8
