Category: All categories

Country,The Shawshank Redemption: (6/23/15 - 8/5/15),Terminator: Genisys: (6/23/15 - 8/5/15)
Belarus,0,100
Kazakhstan,0,98
Ukraine,0,84
Russia,4,84
Singapore,0,55
Malaysia,0,40
Pakistan,0,38
Hungary,0,35
Ireland,0,34
New Zealand,0,34
Australia,0,33
United Arab Emirates,0,32
Philippines,0,30
Peru,0,29
United Kingdom,4,29
Romania,0,27
Canada,0,26
Mexico,0,26
Poland,0,26
India,2,25
Argentina,0,24
United States,3,23
France,0,23
Colombia,0,22
Austria,0,21
Indonesia,0,21
Spain,0,19
Chile,0,19
Thailand,0,18
Italy,0,17
Venezuela,0,17
South Africa,0,17
Vietnam,0,17
Turkey,5,16
Germany,0,16
Sweden,0,15
Netherlands,0,12
Brazil,0,12
Taiwan,0,11
Japan,0,3
