Category: All categories

Country,The Shawshank Redemption: (12/23/13 - 4/29/14),The Wolf of Wall Street: (12/23/13 - 4/29/14)
Georgia,0,100
Armenia,0,82
Macedonia (FYROM),0,76
Ireland,0,74
Kazakhstan,0,72
Croatia,0,70
Romania,0,68
Moldova,0,68
Hungary,0,62
Australia,3,62
Belarus,0,57
New Zealand,0,55
Kenya,0,54
Israel,0,52
Latvia,0,52
Ukraine,5,52
Singapore,0,51
United Kingdom,4,51
Canada,3,51
Poland,4,50
Czech Republic,0,50
Serbia,0,49
Slovenia,0,48
Russia,3,47
Bosnia & Herzegovina,0,44
Spain,0,43
Hong Kong,0,43
Bulgaria,0,43
Italy,2,42
Norway,0,42
Lithuania,0,42
Taiwan,0,41
Switzerland,0,41
Belgium,0,41
United States,3,40
United Arab Emirates,0,39
Sweden,0,38
Greece,0,36
Uruguay,0,35
Austria,0,34
Slovakia,0,34
Netherlands,3,34
Portugal,0,32
South Africa,0,32
Dominican Republic,0,32
Denmark,0,32
France,1,30
Tunisia,0,28
Philippines,0,27
Germany,1,26
Chile,0,26
Argentina,0,26
Pakistan,0,25
India,2,24
Morocco,0,24
South Korea,0,24
Malaysia,0,22
Mexico,1,22
Finland,0,21
Turkey,6,20
Ecuador,0,19
Colombia,0,17
Iran,0,17
Egypt,0,16
Nigeria,0,16
China,0,15
Peru,0,13
Brazil,1,12
Venezuela,0,12
Algeria,0,12
Saudi Arabia,0,12
Thailand,0,8
Indonesia,0,8
Japan,1,6
Vietnam,0,3
