Category: All categories

Country,The Shawshank Redemption: (6/13/13 - 8/2/13),World War Z: (6/13/13 - 8/2/13)
Philippines,0,100
Kazakhstan,0,97
Belarus,0,84
Singapore,0,80
South Korea,0,70
Ukraine,0,62
Mexico,0,58
Russia,0,56
Hong Kong,0,56
Chile,0,56
Peru,0,50
New Zealand,0,49
Hungary,0,47
Australia,0,47
Malaysia,0,45
United Arab Emirates,0,43
United States,2,43
Thailand,0,42
Argentina,0,41
Canada,0,41
Ireland,0,40
Portugal,0,37
Norway,0,34
United Kingdom,2,33
Turkey,8,33
Italy,0,33
France,0,33
Israel,0,32
Pakistan,0,31
Switzerland,0,31
Sweden,0,30
Austria,0,30
Poland,0,30
Romania,0,30
Belgium,0,29
Germany,0,29
Denmark,0,26
Colombia,0,26
Brazil,0,25
Spain,0,23
Greece,0,20
Indonesia,0,20
Netherlands,0,20
Vietnam,0,20
India,0,19
Japan,0,6
