Category: All categories

Country,The Shawshank Redemption: (11/26/14 - 1/27/15),The Hobbit: The Battle of the Five Armies: (11/26/14 - 1/27/15)
Poland,6,100
Romania,0,93
Serbia,0,87
Turkey,11,80
New Zealand,0,75
Philippines,0,72
Croatia,0,72
Pakistan,0,70
Singapore,0,70
Kazakhstan,0,67
Sweden,0,58
Czech Republic,0,56
Hungary,0,54
Slovakia,0,53
Belgium,0,53
United Kingdom,4,51
Greece,0,51
Ireland,0,51
Austria,0,50
Russia,7,49
United Arab Emirates,0,49
France,0,49
Switzerland,0,48
Canada,5,48
Malaysia,0,47
Australia,0,47
Netherlands,0,46
Chile,0,46
Peru,0,46
Spain,0,46
Portugal,0,45
Bulgaria,0,43
Norway,0,42
Ukraine,0,41
United States,5,41
Germany,5,40
Italy,0,39
Thailand,0,37
Finland,0,37
Mexico,0,34
Brazil,0,33
Argentina,0,33
Colombia,0,32
Egypt,0,30
India,4,30
South Africa,0,29
Israel,0,28
Vietnam,0,28
Denmark,0,27
Taiwan,0,27
Indonesia,0,27
Bolivia,0,18
Japan,4,5
