Category: All categories

Country,The Shawshank Redemption: (11/24/14 - 1/26/15),Exodus: Gods and Kings: (11/24/14 - 1/26/15)
Singapore,0,100
Romania,0,70
Philippines,0,57
India,6,57
Spain,0,55
Israel,0,51
Morocco,0,51
Australia,0,50
Hungary,0,40
United Kingdom,6,40
South Africa,0,38
United States,7,38
Italy,0,37
Switzerland,0,37
Sweden,0,35
Canada,8,35
France,0,34
Russia,11,34
Egypt,0,34
Belgium,0,33
Netherlands,0,30
Poland,9,29
Indonesia,0,29
Brazil,0,22
Germany,7,22
Ukraine,0,20
Thailand,0,17
Turkey,17,14
Mexico,0,13
Japan,5,0
