Category: All categories

Country,The Shawshank Redemption: (6/6/16 - 7/13/16),The Conjuring 2: (6/6/16 - 7/13/16)
Indonesia,0,100
Honduras,0,67
Malaysia,0,65
Sri Lanka,0,64
Pakistan,0,63
India,1,62
Singapore,0,57
Paraguay,0,56
Philippines,0,52
El Salvador,0,51
Bangladesh,0,50
United Arab Emirates,0,42
Chile,0,41
Ecuador,0,40
Bolivia,0,38
Guatemala,0,38
Uruguay,0,37
Mexico,0,36
Colombia,0,35
Costa Rica,0,33
New Zealand,0,33
Argentina,0,32
Venezuela,0,29
Ireland,0,28
Norway,0,26
Egypt,0,26
United States,1,24
Australia,0,24
Brazil,0,24
Peru,0,23
Vietnam,0,21
United Kingdom,1,19
South Africa,0,16
Saudi Arabia,0,16
Morocco,0,16
Canada,0,16
France,0,16
Portugal,0,15
Romania,0,14
Thailand,0,14
Hong Kong,0,12
Sweden,0,12
Belgium,0,11
Greece,0,10
Netherlands,0,9
Germany,0,8
Italy,0,6
Iran,0,6
Turkey,3,5
Spain,0,3
Russia,0,2
