Category: All categories

Country,The Shawshank Redemption: (12/2/13 - 1/31/14),The Desolation of Smaug: (12/2/13 - 1/31/14)
Kazakhstan,0,100
Romania,0,78
Belarus,0,73
New Zealand,0,72
Czech Republic,0,71
Serbia,0,68
Russia,0,66
Poland,0,65
Turkey,10,60
Singapore,0,57
Philippines,0,56
Sweden,0,56
Croatia,0,55
Ireland,0,54
Ukraine,0,52
Hungary,0,51
Australia,0,51
Greece,0,49
Norway,0,48
United Kingdom,6,47
Slovakia,0,47
Canada,6,45
Belgium,0,44
Austria,0,42
Netherlands,0,42
Germany,0,41
Spain,0,39
Malaysia,0,37
Chile,0,37
Switzerland,0,37
Thailand,0,35
United States,4,34
Portugal,0,33
Denmark,0,33
France,0,33
Finland,0,33
Israel,0,30
Peru,0,29
Mexico,0,28
Italy,5,28
Argentina,0,26
Pakistan,0,26
Colombia,0,23
South Africa,0,23
Brazil,0,20
Vietnam,0,20
India,3,19
Indonesia,0,18
Taiwan,0,17
