Category: All categories

Country,The Shawshank Redemption: (3/20/14 - 5/10/14),Noah: (3/20/14 - 5/10/14)
Kazakhstan,0,100
Ukraine,0,79
Belarus,0,76
Russia,0,60
Singapore,0,46
Bulgaria,0,37
New Zealand,0,33
Romania,0,32
Philippines,0,27
Australia,0,25
Egypt,0,24
South Africa,0,22
Ireland,0,22
Israel,0,21
United States,2,20
Indonesia,0,20
Canada,0,20
Italy,0,19
United Kingdom,2,18
Thailand,0,16
Poland,4,15
Greece,0,15
Malaysia,0,12
Netherlands,0,11
Sweden,0,11
India,0,10
Mexico,0,10
Saudi Arabia,0,9
Germany,0,9
Brazil,0,9
Vietnam,0,8
Colombia,0,7
Argentina,0,7
Spain,0,5
France,0,5
Turkey,4,4
