Category: All categories

Country,The Shawshank Redemption: (3/15/13 - 6/4/13),The Croods: (3/15/13 - 6/4/13)
Kazakhstan,0,100
Russia,5,44
Ukraine,0,41
Mexico,0,41
Chile,0,41
Singapore,0,36
Philippines,0,33
Colombia,0,32
New Zealand,0,31
Australia,4,28
Italy,3,27
China,0,26
Argentina,0,25
Portugal,0,23
Malaysia,0,23
Israel,0,23
Hungary,0,22
Romania,0,21
Spain,0,21
Venezuela,0,21
United States,3,20
Canada,4,19
Peru,0,19
Switzerland,0,19
United Kingdom,5,19
Belgium,0,17
Vietnam,0,16
France,0,15
Poland,0,15
Brazil,2,15
Sweden,0,14
Netherlands,0,13
India,3,13
Germany,0,11
Indonesia,0,10
Thailand,0,8
Turkey,8,0
Japan,2,0
