Category: All categories

Country,The Shawshank Redemption: (5/23/15 - 6/30/15),San Andreas: (5/23/15 - 6/30/15)
Philippines,0,100
Malaysia,0,88
Pakistan,0,76
Singapore,0,76
Taiwan,0,70
United Arab Emirates,0,67
Hong Kong,0,64
Kazakhstan,0,53
Romania,0,50
New Zealand,0,43
Russia,5,42
Ireland,0,41
Ukraine,0,38
Australia,0,37
United States,4,37
South Korea,0,34
India,2,33
United Kingdom,2,32
Canada,0,31
Poland,0,28
Indonesia,0,28
Thailand,0,27
Greece,0,26
Venezuela,0,24
Israel,0,24
Hungary,0,23
Switzerland,0,23
France,0,23
Sweden,0,21
Chile,0,21
Colombia,0,20
Netherlands,0,19
Italy,0,18
Mexico,0,17
Germany,0,16
Egypt,0,16
Turkey,6,15
Vietnam,0,15
Brazil,0,11
Argentina,0,11
Spain,0,9
