Category: All categories

Country,The Shawshank Redemption: (9/27/13 - 11/11/13),Gravity: (9/27/13 - 11/11/13)
Singapore,0,100
Kazakhstan,0,88
Belarus,0,82
South Korea,0,79
New Zealand,0,72
Russia,0,68
United Arab Emirates,0,67
India,0,67
Ukraine,0,63
Australia,0,63
United States,2,60
Canada,0,54
Hong Kong,0,52
Philippines,0,48
Ireland,0,47
France,0,44
Hungary,0,38
United Kingdom,3,38
Romania,0,36
Malaysia,0,35
Switzerland,0,34
Belgium,0,34
Spain,0,34
Italy,0,32
Pakistan,0,31
Greece,0,30
Netherlands,0,29
Germany,0,29
Sweden,0,28
Mexico,0,24
Indonesia,0,23
Taiwan,0,20
Poland,0,19
Turkey,8,16
Thailand,0,15
Brazil,0,12
Argentina,0,10
Japan,0,3
