Category: All categories

Country,The Shawshank Redemption: (12/13/13 - 2/5/14),The Secret Life of Walter Mitty: (12/13/13 - 2/5/14)
Taiwan,0,100
Singapore,0,73
South Korea,0,54
Hong Kong,0,52
Australia,8,46
Italy,0,31
Russia,0,30
Spain,0,28
Malaysia,0,27
Philippines,0,27
United States,4,22
Canada,6,20
Ukraine,0,19
Belgium,0,19
United Kingdom,7,19
Sweden,0,18
Argentina,0,17
Mexico,0,17
Thailand,0,15
Netherlands,0,14
France,0,13
Poland,0,13
Turkey,12,0
Germany,0,11
Brazil,0,10
India,3,9
Indonesia,0,7
Japan,3,0
