Category: All categories

Country,The Shawshank Redemption: (11/10/13 - 12/31/16),Frozen: (11/10/13 - 12/31/16)
Mexico,1,100
Philippines,1,98
Brazil,1,79
Honduras,0,75
Puerto Rico,0,74
Venezuela,0,72
Peru,1,71
El Salvador,0,70
Malaysia,1,66
Indonesia,1,63
Guatemala,0,63
Ecuador,0,60
Panama,0,58
Costa Rica,0,55
Argentina,1,52
United Kingdom,2,52
France,1,50
United States,2,48
Chile,1,48
Canada,2,42
Kazakhstan,4,42
Dominican Republic,0,42
Australia,2,41
Ireland,3,41
Spain,1,39
Colombia,1,39
United Arab Emirates,2,39
Pakistan,2,39
Italy,1,39
Uruguay,0,38
New Zealand,4,38
Belgium,1,37
Japan,1,37
Singapore,1,36
Romania,2,35
Poland,3,35
Croatia,2,33
Netherlands,1,32
Hungary,2,32
Portugal,1,31
Slovakia,1,29
Taiwan,2,28
Russia,2,26
Bulgaria,1,26
Serbia,3,25
Czech Republic,2,24
Israel,2,24
Ukraine,3,24
Hong Kong,1,24
Bolivia,0,24
Thailand,1,24
Vietnam,1,23
South Africa,1,23
Belarus,3,21
Finland,1,20
Norway,3,20
Greece,1,20
Egypt,2,19
Algeria,1,19
Switzerland,1,19
Turkey,4,18
Saudi Arabia,1,18
Sweden,2,18
Germany,1,18
Austria,1,17
Denmark,2,17
South Korea,2,15
Morocco,2,14
India,2,9
Iran,1,9
Azerbaijan,4,0
Georgia,4,0
Bangladesh,2,0
Tunisia,2,0
Lithuania,2,0
Jordan,2,0
