Category: All categories

Country,The Shawshank Redemption: (4/15/14 - 5/27/14),The Amazing Spider-Man 2: (4/15/14 - 5/27/14)
Philippines,0,100
Singapore,0,69
Bangladesh,0,53
India,0,53
South Korea,0,50
Malaysia,0,47
United Arab Emirates,0,45
Pakistan,0,43
Indonesia,0,31
Israel,0,29
Australia,0,28
Canada,0,27
United Kingdom,3,27
United States,2,26
Hong Kong,0,26
Ireland,0,25
New Zealand,0,25
Thailand,0,25
Italy,0,24
Mexico,0,24
Romania,0,21
South Africa,0,21
Turkey,4,18
France,0,16
Egypt,0,16
Poland,0,16
Greece,0,15
Vietnam,0,14
China,0,14
Spain,0,13
Chile,0,13
Brazil,0,13
Belgium,0,13
Peru,0,13
Russia,0,12
Sweden,0,12
Saudi Arabia,0,11
Ukraine,0,10
Taiwan,0,10
Japan,0,10
Netherlands,0,9
Argentina,0,9
Germany,0,8
Colombia,0,7
