Category: All categories

Country,The Shawshank Redemption: (9/12/14 - 11/13/14),The Maze Runner: (9/12/14 - 11/13/14)
Singapore,0,100
Kazakhstan,0,76
Taiwan,0,70
Hong Kong,0,64
Belarus,0,63
Malaysia,0,62
Philippines,0,60
New Zealand,0,53
Russia,3,49
Australia,5,48
Ukraine,0,44
Thailand,0,43
United Arab Emirates,0,37
Belgium,0,32
France,0,29
Hungary,0,29
United States,3,29
Canada,4,28
Romania,0,28
Netherlands,0,25
Norway,0,25
Denmark,0,24
Poland,0,24
Ireland,0,23
Chile,0,23
Indonesia,0,21
Sweden,0,21
United Kingdom,4,21
Switzerland,0,20
Portugal,0,18
Mexico,0,18
South Africa,0,18
Italy,0,18
South Korea,0,17
Brazil,0,16
Pakistan,0,15
Germany,0,15
Peru,0,13
Argentina,0,13
Vietnam,0,12
Saudi Arabia,0,11
Turkey,6,11
India,3,9
Colombia,0,8
Spain,0,4
