Category: All categories

Country,The Shawshank Redemption: (6/5/13 - 7/15/13),Man of Steel: (6/5/13 - 7/15/13)
Philippines,0,100
Singapore,0,82
Bangladesh,0,67
Pakistan,0,59
Malaysia,0,59
United Arab Emirates,0,55
Ireland,0,54
United States,2,45
Australia,0,45
New Zealand,0,44
United Kingdom,1,44
India,0,43
Canada,0,42
South Korea,0,42
Ecuador,0,41
Indonesia,0,38
South Africa,0,37
Hong Kong,0,37
Mexico,0,35
Colombia,0,34
Chile,0,32
Ukraine,0,29
Romania,0,27
Russia,0,26
Thailand,0,25
France,0,24
Peru,0,23
Spain,0,22
Greece,0,22
Argentina,0,21
Denmark,0,20
Venezuela,0,20
Taiwan,0,20
Hungary,0,19
Belgium,0,18
Sweden,0,17
Portugal,0,17
Switzerland,0,16
Israel,0,15
Austria,0,14
Vietnam,0,14
Brazil,0,14
Poland,0,14
Germany,0,13
Netherlands,0,13
Egypt,0,13
Turkey,5,12
China,0,10
Italy,0,9
Japan,0,2
