Category: All categories

Country,The Shawshank Redemption: (3/12/14 - 5/13/14),Divergent: (3/12/14 - 5/13/14)
Philippines,0,100
Singapore,0,95
New Zealand,0,69
United States,2,59
Australia,0,53
Canada,2,51
United Arab Emirates,0,40
Romania,0,39
Ireland,0,34
Norway,0,32
Indonesia,0,30
Belgium,0,30
Malaysia,0,28
Hong Kong,0,26
United Kingdom,2,26
Denmark,0,25
Italy,0,25
Thailand,0,22
Sweden,0,22
Netherlands,0,20
Pakistan,0,18
Switzerland,0,18
South Africa,0,16
Portugal,0,14
Finland,0,13
Greece,0,13
Egypt,0,10
Saudi Arabia,0,9
France,0,9
Germany,0,8
Mexico,0,8
India,1,6
Turkey,4,4
Poland,4,4
Vietnam,0,4
Spain,0,4
Brazil,0,2
