Category: All categories

Country,The Shawshank Redemption: (6/30/16 - 9/18/16),The Secret Life of Pets: (6/30/16 - 9/18/16)
Belarus,0,100
Russia,5,81
Kazakhstan,0,71
Ukraine,6,57
United States,3,49
Canada,4,41
Israel,0,39
Singapore,0,37
Philippines,0,37
Ireland,0,37
United Kingdom,4,31
Australia,3,28
New Zealand,0,25
France,0,24
Romania,0,23
United Arab Emirates,0,22
Malaysia,0,18
Belgium,0,16
Poland,6,16
Switzerland,0,14
Pakistan,0,13
Thailand,0,10
Saudi Arabia,0,10
Netherlands,0,9
Indonesia,0,9
Sweden,0,8
India,3,8
Turkey,8,0
Vietnam,0,7
Mexico,0,6
Germany,2,5
Brazil,1,5
Italy,0,3
Japan,1,0
