Category: All categories

Country,The Shawshank Redemption: (3/19/16 - 4/12/16),Batman v Superman: Dawn of Justice: (3/19/16 - 4/12/16)
Singapore,0,100
Philippines,0,99
Puerto Rico,0,87
Bolivia,0,87
Mexico,0,81
Bangladesh,0,73
United States,1,31
India,0,70
Ecuador,0,67
Guatemala,0,65
Malaysia,0,65
Indonesia,0,64
United Arab Emirates,0,64
Costa Rica,0,63
Ireland,0,62
Canada,0,59
Dominican Republic,0,58
Australia,0,57
United Kingdom,0,55
Sri Lanka,0,53
New Zealand,0,53
Pakistan,0,51
Kazakhstan,0,48
Brazil,0,47
Colombia,0,46
Peru,0,45
South Africa,0,44
Chile,0,42
Hong Kong,0,36
Argentina,0,35
Venezuela,0,33
Italy,0,33
Russia,0,32
Belarus,0,30
Romania,0,29
Israel,0,29
Spain,0,29
Greece,0,28
Ukraine,0,27
Portugal,0,27
Norway,0,27
Egypt,0,26
France,0,25
Thailand,0,25
Turkey,0,24
Hungary,0,24
Denmark,0,20
Austria,0,20
Switzerland,0,19
Sweden,0,19
Taiwan,0,19
Czech Republic,0,18
Germany,0,18
Belgium,0,17
Netherlands,0,15
Poland,0,15
South Korea,0,14
Saudi Arabia,0,14
Vietnam,0,11
Japan,0,2
