Category: All categories

Country,The Shawshank Redemption: (11/18/15 - 1/24/16),The Good Dinosaur: (11/18/15 - 1/24/16)
Singapore,0,100
Kazakhstan,0,73
Philippines,0,68
Malaysia,0,58
Ireland,0,57
Australia,0,56
United States,7,51
United Arab Emirates,0,49
South Korea,0,43
Russia,9,40
United Kingdom,11,39
Canada,9,38
Italy,0,37
Vietnam,0,35
Poland,9,34
Brazil,0,33
Romania,0,33
Thailand,0,32
Pakistan,0,30
Indonesia,0,27
Ukraine,19,24
Netherlands,0,22
India,7,20
Turkey,17,0
Mexico,0,7
France,0,4
Japan,4,0
