Category: All categories

Country,The Shawshank Redemption: (12/31/14 - 2/23/15),Taken 3: (12/31/14 - 2/23/15)
Philippines,0,100
Romania,0,95
Singapore,0,86
Kazakhstan,0,85
United Arab Emirates,0,83
Pakistan,0,74
Peru,0,71
Chile,0,63
Ecuador,0,62
Hungary,0,59
Argentina,0,58
Morocco,0,53
Malaysia,0,51
United Kingdom,5,47
France,0,47
Algeria,0,46
Poland,0,46
Australia,0,44
South Africa,0,41
Denmark,0,41
Ireland,0,40
Saudi Arabia,0,39
Mexico,0,38
Colombia,0,35
Sweden,0,35
Greece,0,34
Belgium,0,32
Netherlands,0,29
India,4,29
Switzerland,0,29
United States,4,29
Egypt,0,28
Russia,8,28
Ukraine,0,27
Indonesia,0,27
Canada,0,26
Thailand,0,24
Germany,5,16
Vietnam,0,16
Brazil,0,16
Italy,0,14
Turkey,12,7
Japan,0,4
