Category: All categories

Country,The Shawshank Redemption: (4/4/13 - 5/20/13),Oblivion: (4/4/13 - 5/20/13)
Belarus,0,100
Kazakhstan,0,78
Ukraine,0,65
Russia,0,64
Singapore,0,60
Hungary,0,41
New Zealand,0,37
Taiwan,0,35
Ireland,0,32
Philippines,0,31
Australia,0,31
Malaysia,0,29
Romania,0,27
Canada,0,23
Italy,0,23
United Kingdom,5,22
Switzerland,0,21
United States,3,21
Poland,0,21
Sweden,0,20
Chile,0,20
Germany,0,19
Spain,0,19
Belgium,0,18
France,0,18
Netherlands,0,15
Mexico,0,15
Indonesia,0,15
Turkey,5,15
India,0,14
Argentina,0,13
Colombia,0,11
Thailand,0,11
Vietnam,0,9
Brazil,0,8
Japan,0,6
