Category: All categories

Country,The Shawshank Redemption: (6/6/15 - 7/15/15),Jurassic World: (6/6/15 - 7/15/15)
Singapore,0,100
Sri Lanka,0,87
Puerto Rico,0,83
United States,2,79
Philippines,0,71
Malaysia,0,64
Australia,0,64
Thailand,0,61
Canada,0,60
United Arab Emirates,0,58
Ireland,0,56
United Kingdom,1,55
New Zealand,0,55
Mexico,0,54
Hong Kong,0,53
Taiwan,0,52
India,1,50
Pakistan,0,48
Costa Rica,0,44
Hungary,0,43
Guatemala,0,42
Spain,0,40
Belgium,0,38
France,0,38
Kazakhstan,0,37
Chile,0,36
Denmark,0,36
Norway,0,35
Ecuador,0,34
Indonesia,0,34
Bangladesh,0,33
Italy,0,32
Belarus,0,32
Sweden,0,31
Austria,0,30
Germany,0,30
Peru,0,30
Bolivia,0,29
Argentina,0,29
Netherlands,0,28
Switzerland,0,28
Romania,0,28
Russia,2,27
Ukraine,0,27
Czech Republic,0,27
South Africa,0,27
Poland,0,27
Israel,0,25
Portugal,0,24
Vietnam,0,24
Croatia,0,24
Venezuela,0,23
Slovakia,0,22
Brazil,0,21
Colombia,0,21
Bulgaria,0,21
Finland,0,19
Greece,0,17
South Korea,0,13
Turkey,3,12
Saudi Arabia,0,12
Egypt,0,8
Japan,0,4
