Category: All categories

Country,The Shawshank Redemption: (6/3/14 - 8/25/14),22 Jump Street: (6/3/14 - 8/25/14)
Kazakhstan,0,100
Ukraine,0,71
Belarus,0,70
New Zealand,0,56
Australia,5,48
Canada,4,45
Russia,4,45
Ireland,0,42
United States,3,39
United Kingdom,5,38
Romania,0,34
Philippines,0,33
Singapore,0,31
South Africa,0,29
Norway,0,27
Denmark,0,26
Poland,7,25
Sweden,0,24
Israel,0,22
Netherlands,0,19
Austria,0,18
Belgium,0,16
Germany,0,15
Malaysia,0,13
Saudi Arabia,0,11
Turkey,9,3
India,3,8
Indonesia,0,8
Spain,0,8
Italy,0,7
Mexico,0,6
France,0,5
Japan,3,0
Brazil,1,2
